"filename", "language", "JSON", "Markdown", "JavaScript", "SQL", "comment", "blank", "total"
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\README.md", "Markdown", 0, 16, 0, 0, 0, 11, 27
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\001.do.create_gift_closet_users_table.sql", "SQL", 0, 0, 0, 9, 0, 0, 9
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\001.undo.create_gift_closet_users_table.sql", "SQL", 0, 0, 0, 1, 0, 0, 1
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\002.do.create_gift_closet_tags_table.sql", "SQL", 0, 0, 0, 5, 0, 0, 5
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\002.undo.create_gift_closet_tags_table.sql", "SQL", 0, 0, 0, 1, 0, 0, 1
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\003.do.create_gift_closet_gifts_table.sql", "SQL", 0, 0, 0, 11, 0, 0, 11
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\003.undo.create_gift_closet_gifts_table.sql", "SQL", 0, 0, 0, 1, 0, 0, 1
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\004.do.alter_gift_closet_tags.sql", "SQL", 0, 0, 0, 4, 0, 0, 4
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\migrations\004.undo.alter_gift_closet_tags.sql", "SQL", 0, 0, 0, 2, 0, 0, 2
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\package-lock.json", "JSON", 3989, 0, 0, 0, 0, 1, 3990
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\package.json", "JSON", 38, 0, 0, 0, 0, 1, 39
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\postgrator-config.js", "JavaScript", 0, 0, 10, 0, 0, 2, 12
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\seeds\seed.gift_closet_tables.sql", "SQL", 0, 0, 0, 32, 0, 9, 41
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\seeds\truncate.gift_closet_tables.sql", "SQL", 0, 0, 0, 5, 0, 0, 5
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\app.js", "JavaScript", 0, 0, 34, 0, 1, 9, 44
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\auth\auth-router.js", "JavaScript", 0, 0, 36, 0, 4, 10, 50
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\auth\auth-service.js", "JavaScript", 0, 0, 22, 0, 2, 8, 32
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\clean-demo-user.js", "JavaScript", 0, 0, 41, 0, 0, 6, 47
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\config.js", "JavaScript", 0, 0, 10, 0, 0, 1, 11
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\gifts\gifts-router.js", "JavaScript", 0, 0, 110, 0, 2, 15, 127
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\gifts\gifts-service.js", "JavaScript", 0, 0, 39, 0, 0, 9, 48
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\middleware\jwt-auth.js", "JavaScript", 0, 0, 27, 0, 5, 13, 45
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\server.js", "JavaScript", 0, 0, 11, 0, 0, 5, 16
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\tags\tags-router.js", "JavaScript", 0, 0, 86, 0, 0, 11, 97
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\tags\tags-service.js", "JavaScript", 0, 0, 70, 0, 0, 13, 83
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\users\users-router.js", "JavaScript", 0, 0, 55, 0, 4, 10, 69
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\src\users\users-service.js", "JavaScript", 0, 0, 47, 0, 0, 6, 53
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\app.spec.js", "JavaScript", 0, 0, 6, 0, 0, 2, 8
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\auth-endpoints.spec.js", "JavaScript", 0, 0, 72, 0, 1, 16, 89
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\gifts-endpoints.spec.js", "JavaScript", 0, 0, 226, 0, 0, 21, 247
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\protected-endpoints.spec.js", "JavaScript", 0, 0, 66, 0, 0, 11, 77
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\setup.js", "JavaScript", 0, 0, 4, 0, 0, 2, 6
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\tags-endpoints.spec.js", "JavaScript", 0, 0, 174, 0, 0, 20, 194
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\test-helpers.js", "JavaScript", 0, 0, 269, 0, 6, 14, 289
"c:\Thinkful\Projects\gift-closet\gift-closet-project-server\test\users-endpoints.spec.js", "JavaScript", 0, 0, 189, 0, 0, 18, 207
"Total", "-", 4027, 16, 1604, 71, 25, 244, 5987